years cotas mouth
1903 27.52 6
1904 28.78 6
1905 26.07 6
1906 26.01 6
1907 27.19 6
1908 28.92 6
1909 29.17 6
1910 27.81 7
1911 27.57 6
1912 24.87 6
1913 28.5 6
1914 28.44 6
1915 27.73 5
1916 26.63 6
1917 26.77 6
1918 28.74 6
1919 26.36 6
1920 28.57 7
1921 28.97 6
1922 29.35 6
1923 28.19 6
1924 26.09 7
1925 28.43 6
1926 21.77 7
1927 27.56 6
1928 28.49 6
1929 28.14 6
1930 27.69 6
1931 26.66 6
1932 27.76 6
1933 28.12 6
1934 27.64 6
1935 27.67 6
1936 26.64 5
1937 26.91 6
1938 27.92 6
1939 28.04 6
1940 26.77 6
1941 27.09 5
1942 27.63 6
1943 28.18 7
1944 28.79 6
1945 27.03 6
1946 27.98 6
1947 26.75 7
1948 27.51 6
1949 28.32 6
1950 28.25 6
1951 28.47 7
1952 27.58 6
1953 29.69 6
1954 28.49 6
1955 28.53 6
1956 27.65 6
1957 27.33 7
1958 27.58 5
1959 27.71 6
1960 27.55 6
1961 27.13 7
1962 28.33 7
1963 27.31 6
1964 25.91 7
1965 26.58 6
1966 26.41 6
1967 27.91 6
1968 27.13 5
1969 27.4 6
1970 28.31 6
1971 29.12 6
1972 28.7 7
1973 28.57 7
1974 28.46 6
1975 29.11 6
1976 29.61 6
1977 28.45 6
1978 28.11 6
1979 28.23 6
1980 26.0 7
1981 26.85 6
1982 28.97 6
1983 26.52 6
1984 28.03 6
1985 26.27 7
1986 28.14 7
1987 27.91 6
1988 27.78 6
1989 29.42 7
1990 28.23 6
1991 28.06 7
1992 25.42 5
1993 28.76 6
1994 29.05 6
1995 27.16 6
1996 28.54 6
1997 28.96 6
1998 27.58 7
1999 29.3 6
2000 28.62 6
2001 28.21 6
2002 28.91 6
2003 28.27 7
2004 27.13 6
2005 28.1 6
2006 28.84 6
2007 28.18 6
2008 28.62 6
2009 29.77 7
2010 27.96 6
2011 28.62 6
2012 29.97 5
2013 29.33 6
2014 29.5 7
2015 29.66 6
