mom,cheia,cheiaa,nino12,nino12a,nino3,nino34,nino34a,nino3a,nino4,nino4a,precacum,precacuma,tmaxmed,tmaxmeda,tminmed,tminmeda
1/1961,21.23,-2.4153858024691353,24.59,-0.13,25.15,26.35,-0.36,-0.64,26.35,-0.36,285.9,97.96049382716043,30.516129,-0.7347722361111337,22.693548,-0.2903052762345659
2/1961,22.53,-1.1153858024691345,26.46,0.28,26.24,26.51,-0.37,-0.3,26.51,-0.37,332.3,144.36049382716047,30.010714,-1.240187236111133,22.064286,-0.9195672762345666
3/1961,22.96,-0.6853858024691348,25.88,-0.68,26.85,26.9,-0.46,-0.44,26.9,-0.46,237.6,49.66049382716045,30.990323,-0.26057823611113307,23.032258,0.04840472376543303
4/1961,24.29,0.6446141975308635,25.04,-0.63,27.45,27.36,-0.49,-0.16,27.36,-0.49,353.0,165.06049382716046,31.193333,-0.05756823611113404,22.93,-0.05385327623456604
5/1961,25.64,1.9946141975308649,23.68,-0.79,27.08,27.72,-0.24,-0.21,27.72,-0.24,327.5,139.56049382716046,30.919355,-0.33154623611113365,22.822581,-0.1612722762345662
6/1961,26.72,3.074614197530863,22.2,-0.95,26.42,27.72,-0.01,-0.21,27.72,-0.01,98.2,-89.73950617283954,30.84,-0.4109012361111333,22.253333,-0.7305202762345644
7/1961,27.09,3.444614197530864,20.73,-1.32,25.05,27.08,-0.23,-0.77,27.08,-0.23,33.0,-154.93950617283954,32.351613,1.1007117638888673,21.780645,-1.203208276234566
8/1961,26.07,2.4246141975308646,20.02,-1.09,24.27,26.29,-0.67,-0.96,26.29,-0.67,6.9,-181.03950617283954,34.470968,3.220066763888866,22.387097,-0.5967562762345651
9/1961,21.42,-2.225385802469134,19.73,-1.13,23.74,25.96,-0.91,-1.34,25.96,-0.91,51.7,-136.23950617283953,34.196667,2.945765763888865,22.576667,-0.40718627623456527
10/1961,16.45,-7.195385802469136,20.26,-0.91,23.88,25.87,-0.96,-1.24,25.87,-0.96,123.0,-64.93950617283954,31.835484,0.5845827638888679,22.477419,-0.5064342762345646
11/1961,18.03,-5.6153858024691345,21.37,-0.48,24.43,26.15,-0.63,-0.76,26.15,-0.63,145.9,-42.03950617283954,32.576667,1.3257657638888674,22.396667,-0.587186276234565
