year,cheia_1,cheia_10,cheia_11,cheia_12,cheia_2,cheia_3,cheia_4,cheia_5,cheia_6,cheia_7,cheia_8,cheia_9,nino12_1,nino12_10,nino12_11,nino12_12,nino12_2,nino12_3,nino12_4,nino12_5,nino12_6,nino12_7,nino12_8,nino12_9,nino34_1,nino34_10,nino34_11,nino34_12,nino34_2,nino34_3,nino34_4,nino34_5,nino34_6,nino34_7,nino34_8,nino34_9,nino3_1,nino3_10,nino3_11,nino3_12,nino3_2,nino3_3,nino3_4,nino3_5,nino3_6,nino3_7,nino3_8,nino3_9,nino4_1,nino4_10,nino4_11,nino4_12,nino4_2,nino4_3,nino4_4,nino4_5,nino4_6,nino4_7,nino4_8,nino4_9,prec_1,prec_10,prec_11,prec_12,prec_2,prec_3,prec_4,prec_5,prec_6,prec_7,prec_8,prec_9,result,tempMax_1,tempMax_10,tempMax_11,tempMax_12,tempMax_2,tempMax_3,tempMax_4,tempMax_5,tempMax_6,tempMax_7,tempMax_8,tempMax_9,tempMin_1,tempMin_10,tempMin_11,tempMin_12,tempMin_2,tempMin_3,tempMin_4,tempMin_5,tempMin_6,tempMin_7,tempMin_8,tempMin_9
1962,21.59,16.45,18.03,19.62,22.85,24.19,25.85,27.18,26.72,27.09,26.07,21.42,24.22,20.26,21.37,21.37,25.29,24.65,23.7,23.2,22.2,20.73,20.02,19.73,26.15,25.87,26.15,26.15,26.28,26.81,27.22,27.2,27.72,27.08,26.29,25.96,25.25,23.88,24.43,24.7,26.03,26.57,26.67,26.33,26.42,25.05,24.27,23.74,26.15,25.87,26.15,26.15,26.28,26.81,27.22,27.2,27.72,27.08,26.29,25.96,406.1,123.0,145.9,353.1,399.4,307.9,299.0,260.5,98.2,33.0,6.9,51.7,28.11,31.006452000000003,31.835484,32.576667,30.503226,30.321429,30.635484,30.116667,30.567742,30.84,32.351613,34.470968,34.196667,22.412903,22.477419,22.396667,22.309677,22.514286,22.574194,22.886667000000003,22.751613,22.253332999999998,21.780645,22.387097,22.576667
1963,17.86,18.28,18.25,19.04,19.7,22.54,24.8,26.48,28.11,28.22,27.2,23.93,23.98,20.18,20.94,20.94,25.48,25.83,24.34,23.89,21.97,20.91,20.24,20.12,25.94,26.11,25.87,25.82,26.31,27.15,27.76,27.59,27.19,26.87,26.4,26.01,24.93,24.27,24.13,24.21,25.81,26.92,27.52,27.02,25.84,25.17,24.73,24.2,25.94,26.11,25.87,25.82,26.31,27.15,27.76,27.59,27.19,26.87,26.4,26.01,265.1,125.4,107.6,132.0,182.2,239.5,313.3,243.3,108.5,47.3,34.0,12.8,27.22,30.529032,33.6,31.936667,31.877419,30.107143,30.296774,30.67,31.248387,30.82,31.687096999999998,33.080645000000004,34.593333,22.316129,23.312903,23.096667,23.245161,22.414285999999997,22.6,22.806667,22.929032,21.94,22.283870999999998,22.006452,22.973333
1964,19.79,14.5,15.15,17.76,18.67,19.55,22.57,24.82,27.22,26.62,23.8,18.92,23.94,20.99,21.32,21.32,24.93,25.11,24.47,22.2,22.46,21.73,21.18,20.88,27.33,27.46,27.43,27.56,27.21,27.05,27.05,27.01,27.62,27.78,27.48,27.44,26.01,25.5,25.67,25.96,26.34,26.73,26.39,25.69,26.66,26.28,25.7,25.42,27.33,27.46,27.43,27.56,27.21,27.05,27.05,27.01,27.62,27.78,27.48,27.44,159.0,84.3,239.6,184.3,140.3,426.0,295.3,268.1,122.4,46.7,5.4,45.3,25.62,31.580645,34.712903000000004,31.916666999999997,31.154839000000003,31.055172,30.793547999999998,31.01,30.254839,31.323333,32.551613,34.290323,35.123333,23.851613,24.145160999999998,22.99,23.419355,23.613792999999998,23.029032,23.006667,23.080645,22.536667,22.319354999999998,23.041935000000002,23.816667000000002
1965,19.45,20.35,19.07,19.21,20.6,21.28,24.09,25.79,25.62,25.77,24.61,22.42,23.89,19.68,20.91,20.91,25.84,26.35,26.48,25.74,21.43,20.2,19.58,19.71,25.78,25.54,25.43,25.42,26.33,26.98,27.49,27.97,26.67,26.28,25.73,25.51,24.76,23.94,24.05,23.86,25.94,26.94,27.49,27.56,25.19,24.75,23.7,23.93,25.78,25.54,25.43,25.42,26.33,26.98,27.49,27.97,26.67,26.28,25.73,25.51,169.5,135.2,231.0,312.2,247.7,532.5,284.2,268.9,125.9,61.6,92.6,40.7,26.52,30.496774,33.106452000000004,32.633333,30.709677000000003,30.7,29.548386999999998,30.036666999999998,30.145160999999998,31.203333,31.970968,33.361290000000004,33.553333,22.948387,22.954839,23.046667000000003,22.654839000000003,22.803570999999998,22.9,23.006667,23.016129,22.583333,22.229032,22.787097,22.92
1966,20.81,17.81,16.86,19.65,22.08,22.97,24.1,25.23,26.52,26.05,24.5,20.93,25.0,21.31,21.92,21.92,25.8,25.39,24.44,23.07,24.17,22.98,22.23,21.1,27.66,28.14,28.06,27.9,27.53,28.1,28.14,27.66,28.09,27.94,27.88,27.92,26.59,26.13,26.31,26.42,26.82,27.21,27.41,26.4,27.12,26.48,26.09,25.92,27.66,28.14,28.06,27.9,27.53,28.1,28.14,27.66,28.09,27.94,27.88,27.92,273.3,138.6,76.8,196.0,178.1,172.9,292.6,359.1,64.2,45.7,3.4,13.6,26.26,30.564515999999998,34.351613,32.28,31.641934999999997,30.964285999999998,30.809677,30.866667,30.696773999999998,31.353333000000003,32.093548,33.674194,34.726667,23.667742,24.551613,24.18,23.903226,23.689286,23.374194,23.53,23.374194,22.786667,22.564516,23.003226,24.096667
1967,20.88,17.76,17.04,18.51,23.9,25.15,26.06,27.12,26.26,25.58,23.49,20.31,23.78,20.49,21.0,21.0,25.59,25.37,24.99,23.9,21.79,20.78,20.09,19.88,26.05,26.41,26.39,26.16,26.22,26.51,26.84,27.43,27.75,27.27,26.57,26.45,25.08,24.41,24.32,24.29,26.09,26.43,26.58,26.75,26.01,25.37,24.52,24.21,26.05,26.41,26.39,26.16,26.22,26.51,26.84,27.43,27.75,27.27,26.57,26.45,301.6,29.5,318.5,222.3,249.2,435.0,495.4,204.3,161.6,122.2,110.4,103.4,27.85,29.535484000000004,34.103226,31.633333,31.138709999999996,29.903571000000003,30.080645,30.51,30.816128999999997,31.27,31.929032,32.651613,32.423333,22.961289999999998,23.670968,23.33,23.332258,23.010714,22.970968,23.093332999999998,23.367742,23.18,23.180645000000002,22.851613,23.07
1968,19.76,17.64,17.77,18.56,21.65,22.64,24.26,26.6,27.85,27.49,26.21,23.29,23.19,19.46,20.07,20.07,24.92,25.15,24.22,22.86,22.22,21.16,20.11,19.27,25.73,26.08,26.15,25.98,25.7,26.27,27.08,27.31,27.57,27.01,26.49,25.97,24.37,23.81,23.97,24.13,24.93,25.85,26.63,26.25,26.4,25.28,24.31,23.72,25.73,26.08,26.15,25.98,25.7,26.27,27.08,27.31,27.57,27.01,26.49,25.97,282.2,11.2,131.9,123.1,182.6,632.8,302.6,427.3,124.4,34.2,2.6,6.7,26.85,30.46129,34.296774,32.506667,32.635484000000005,30.793103000000002,30.012903,30.463333000000002,29.254839,31.386667,32.087097,33.751613,35.096667,22.790323,23.903226,23.696667,23.774194,23.251724,22.470968,23.136667000000003,22.487097,23.043332999999997,22.632258,23.074194,23.306667
1969,21.34,22.36,21.28,21.76,22.6,23.65,25.36,27.15,26.85,25.96,24.7,23.05,24.58,20.8,21.44,21.44,25.64,26.97,26.5,25.79,21.93,21.4,20.91,21.1,27.4,26.73,27.2,27.2,27.75,27.87,28.2,28.31,27.91,27.56,26.98,26.75,26.16,25.05,25.25,25.71,26.79,27.53,27.84,27.83,26.36,25.96,25.26,24.96,27.4,26.73,27.2,27.2,27.75,27.87,28.2,28.31,27.91,27.56,26.98,26.75,257.7,37.5,265.8,195.1,195.4,386.6,512.6,321.8,128.1,102.5,41.9,242.8,27.14,31.403226,33.164516,31.403333,31.406452,31.628571,32.170968,31.606666999999998,31.603226,31.06,31.9,32.722581,31.813333,23.364516000000002,23.829032,23.336667000000002,23.364516000000002,23.892857,23.793548,23.756667,23.961289999999998,22.833333,22.477419,23.077419,23.266667
1970,20.33,18.29,17.67,17.79,22.58,24.55,26.19,27.69,27.14,26.37,24.21,21.01,24.97,21.68,22.32,22.32,25.85,25.58,25.04,23.14,24.13,22.41,20.97,20.83,26.99,27.4,27.21,27.15,27.12,27.38,27.89,27.77,27.9,27.26,27.16,27.23,26.19,25.61,25.71,25.95,26.56,26.94,27.25,26.54,26.96,25.84,25.45,25.43,26.99,27.4,27.21,27.15,27.12,27.38,27.89,27.77,27.9,27.26,27.16,27.23,386.7,81.8,112.4,181.7,326.2,382.9,403.2,184.5,96.9,87.6,51.4,26.3,28.24,30.632258,33.432258000000004,33.293333000000004,30.596774,30.589285999999998,30.251613,29.953333,31.03871,32.213333,31.33871,32.751613,34.076667,23.322581,24.332258,24.613332999999997,23.7,23.45,23.454839,23.55,23.532258,23.873333,22.580645,23.141935,24.336667000000002
1971,20.3,21.1,18.57,18.54,23.33,25.27,27.16,28.22,28.24,27.99,26.6,23.84,23.38,20.02,20.6,20.6,24.71,25.29,25.08,23.53,21.55,20.02,19.29,19.38,24.96,25.61,25.62,25.38,25.34,26.04,26.69,27.05,27.15,26.4,25.7,25.71,24.22,23.72,23.76,24.02,24.92,26.0,26.61,26.28,25.4,24.04,23.46,23.75,24.96,25.61,25.62,25.38,25.34,26.04,26.69,27.05,27.15,26.4,25.7,25.71,287.8,98.8,179.6,143.4,367.6,352.4,418.9,316.4,132.0,68.4,42.7,96.2,28.95,29.522581,33.825806,31.686667,32.058065,29.596428999999997,29.941934999999997,30.09,29.935484000000002,31.13,31.429032,33.054839,32.78,22.541935000000002,24.148387,23.156667000000002,23.558065,22.496429,23.048386999999998,22.896667,22.990323,23.22,22.9,23.206452,23.223333
