MOM	NINO12	NINO12A	NINO3	NINO3A	NINO4	NINO4A	NINO34	NINO34A	CHEIA	CHEIAA	TEMPMINM	TEMPMINMA	TEMPMAXM	TEMPMAXMA	PRECACUM	PRECACUMA
1/1961	24.59	-0.13	25.15	-0.64	28.04	-0.31	26.35	-0.36	2123		22,693548		30,516129		285.9	
2/1961	26.46	0.28	26.24	-0.30	27.94	-0.26	26.51	-0.37	2253		22,064286		30,010714		332.3	
3/1961	25.88	-0.68	26.85	-0.44	27.91	-0.41	26.90	-0.46	2296		23,032258		30,990323		237.6	
4/1961	25.04	-0.63	27.45	-0.16	28.03	-0.56	27.36	-0.49	2429		22,93		31,193333		353.00	
5/1961	23.68	-0.79	27.08	-0.21	28.39	-0.50	27.72	-0.24	2564		22,822581		30,919355		327.5	
6/1961	22.20	-0.95	26.42	-0.21	28.71	-0.19	27.72	-0.01	2672		22,253333		30,84		98.2	
7/1961	20.73	-1.32	25.05	-0.77	28.34	-0.50	27.08	-0.23	2709		21,780645		32,351613		33.00	
8/1961	20.02	-1.09	24.27	-0.96	28.14	-0.62	26.29	-0.67	2607		22,387097		34,470968		6.9	
9/1961	19.73	-1.13	23.74	-1.34	28.18	-0.61	25.96	-0.91	2142		22,576667		34,196667		51.7	
10/1961	20.26	-0.91	23.88	-1.24	27.96	-0.81	25.87	-0.96	1645		22,477419		31,835484		123.00	
11/1961	21.37	-0.48	24.43	-0.76	28.15	-0.56	26.15	-0.63	1803		22,396667		32,576667		145.9	
12/1961	22.42	-0.66	24.70	-0.66	28.10	-0.47	26.15	-0.58	1962		22,309677		30,503226		353.1	
1/1962	24.22	-0.49	25.25	-0.55	27.75	-0.60	26.15	-0.56	2159		22,412903		31,006452		406.1	
2/1962	25.29	-0.88	26.03	-0.51	27.69	-0.51	26.28	-0.60	2285		22,514286		30,321429		399.4	
3/1962	24.65	-1.92	26.57	-0.71	27.97	-0.34	26.81	-0.55	2419		22,574194		30,635484		307.9	
4/1962	23.70	-1.97	26.67	-0.94	28.21	-0.37	27.22	-0.63	2585		22,886667		30,116667		299.00	
5/1962	23.20	-1.27	26.33	-0.96	28.31	-0.57	27.20	-0.76	2718		22,751613		30,567742		260.5	
6/1962	21.97	-1.18	25.84	-0.79	28.45	-0.45	27.19	-0.54	2811		21,94		30,82		108.5	
7/1962	20.91	-1.14	25.17	-0.64	28.26	-0.58	26.87	-0.44	2822		22,283871		31,687097		47.3	
8/1962	20.24	-0.87	24.73	-0.50	28.10	-0.67	26.40	-0.56	2720		22,006452		33,080645		34.00	
9/1962	20.12	-0.74	24.20	-0.87	28.11	-0.67	26.01	-0.86	2393		22,973333		34,593333		12.8	
10/1962	20.18	-0.99	24.27	-0.85	28.10	-0.68	26.11	-0.72	1828		23,312903		33,6		125.4	
11/1962	20.94	-0.91	24.13	-1.06	28.10	-0.60	25.87	-0.91	1825		23,096667		31,936667		107.6	
12/1962	21.91	-1.18	24.21	-1.15	27.90	-0.67	25.82	-0.90	1904		23,245161		31,877419		132.00	
1/1963	23.98	-0.74	24.93	-0.86	27.69	-0.66	25.94	-0.77	1786		22,316129		30,529032		265.1	
2/1963	25.48	-0.70	25.81	-0.73	27.69	-0.51	26.31	-0.57	1970		22,414286		30,107143		182.2	
3/1963	25.83	-0.73	26.92	-0.37	28.04	-0.28	27.15	-0.21	2254		22,6		30,296774		239.5	
4/1963	24.34	-1.33	27.52	-0.09	28.34	-0.25	27.76	-0.09	2480		22,806667		30,67		313.3	
5/1963	23.89	-0.59	27.02	-0.27	28.53	-0.35	27.59	-0.37	2648		22,929032		31,248387		243.3	
6/1963	22.46	-0.69	26.66	0.03	28.44	-0.46	27.62	-0.11	2722		22,536667		31,323333		122.4	
7/1963	21.73	-0.32	26.28	0.47	28.63	-0.22	27.78	0.48	2662		22,319355		32,551613		46.7	
8/1963	21.18	0.08	25.70	0.47	28.83	0.07	27.48	0.52	2380		23,041935		34,290323		5.4	
9/1963	20.88	0.02	25.42	0.35	29.07	0.28	27.44	0.57	1892		23,816667		35,123333		45.3	
