mom,cheia,nino12,nino3,nino34,nino4,precacum,tmaxmed,tminmed
1/1961,21.23,24.59,25.15,26.35,26.35,285.9,30.516129,22.693548
2/1961,22.53,26.46,26.24,26.51,26.51,332.3,30.010714,22.064286
3/1961,22.96,25.88,26.85,26.9,26.9,237.6,30.990323,23.032258
4/1961,24.29,25.04,27.45,27.36,27.36,353.0,31.193333,22.93
5/1961,25.64,23.68,27.08,27.72,27.72,327.5,30.919355,22.822581
6/1961,26.72,22.2,26.42,27.72,27.72,98.2,30.84,22.253333
7/1961,27.09,20.73,25.05,27.08,27.08,33.0,32.351613,21.780645
8/1961,26.07,20.02,24.27,26.29,26.29,6.9,34.470968,22.387097
9/1961,21.42,19.73,23.74,25.96,25.96,51.7,34.196667,22.576667
10/1961,16.45,20.26,23.88,25.87,25.87,123.0,31.835484,22.477419
11/1961,18.03,21.37,24.43,26.15,26.15,145.9,32.576667,22.396667
12/1961,19.62,22.42,24.7,26.15,26.15,353.1,30.503226,22.309677
1/1962,21.59,24.22,25.25,26.15,26.15,406.1,31.006452,22.412903
2/1962,22.85,25.29,26.03,26.28,26.28,399.4,30.321429,22.514286
3/1962,24.19,24.65,26.57,26.81,26.81,307.9,30.635484,22.574194
4/1962,25.85,23.7,26.67,27.22,27.22,299.0,30.116667,22.886667
5/1962,27.18,23.2,26.33,27.2,27.2,260.5,30.567742,22.751613
6/1962,28.11,21.97,25.84,27.19,27.19,108.5,30.82,21.94
7/1962,28.22,20.91,25.17,26.87,26.87,47.3,31.687097,22.283871
8/1962,27.2,20.24,24.73,26.4,26.4,34.0,33.080645,22.006452
9/1962,23.93,20.12,24.2,26.01,26.01,12.8,34.593333,22.973333
10/1962,18.28,20.18,24.27,26.11,26.11,125.4,33.6,23.312903
11/1962,18.25,20.94,24.13,25.87,25.87,107.6,31.936667,23.096667
12/1962,19.04,21.91,24.21,25.82,25.82,132.0,31.877419,23.245161
1/1963,17.86,23.98,24.93,25.94,25.94,265.1,30.529032,22.316129
2/1963,19.7,25.48,25.81,26.31,26.31,182.2,30.107143,22.414286
3/1963,22.54,25.83,26.92,27.15,27.15,239.5,30.296774,22.6
4/1963,24.8,24.34,27.52,27.76,27.76,313.3,30.67,22.806667
5/1963,26.48,23.89,27.02,27.59,27.59,243.3,31.248387,22.929032
6/1963,27.22,22.46,26.66,27.62,27.62,122.4,31.323333,22.536667
7/1963,26.62,21.73,26.28,27.78,27.78,46.7,32.551613,22.319355
8/1963,23.8,21.18,25.7,27.48,27.48,5.4,34.290323,23.041935
9/1963,18.92,20.88,25.42,27.44,27.44,45.3,35.123333,23.816667
10/1963,14.5,20.99,25.5,27.46,27.46,84.3,34.712903,24.145161
11/1963,15.15,21.32,25.67,27.43,27.43,239.6,31.916667,22.99
12/1963,17.76,22.41,25.96,27.56,27.56,184.3,31.154839,23.419355
1/1964,19.79,23.94,26.01,27.33,27.33,159.0,31.580645,23.851613
2/1964,18.67,24.93,26.34,27.21,27.21,140.3,31.055172,23.613793
3/1964,19.55,25.11,26.73,27.05,27.05,426.0,30.793548,23.029032
4/1964,22.57,24.47,26.39,27.05,27.05,295.3,31.01,23.006667
5/1964,24.82,22.2,25.69,27.01,27.01,268.1,30.254839,23.080645
6/1964,25.62,21.43,25.19,26.67,26.67,125.9,31.203333,22.583333
7/1964,25.77,20.2,24.75,26.28,26.28,61.6,31.970968,22.229032
8/1964,24.61,19.58,23.7,25.73,25.73,92.6,33.36129,22.787097
9/1964,22.42,19.71,23.93,25.51,25.51,40.7,33.553333,22.92
10/1964,20.35,19.68,23.94,25.54,25.54,135.2,33.106452,22.954839
11/1964,19.07,20.91,24.05,25.43,25.43,231.0,32.633333,23.046667
12/1964,19.21,21.72,23.86,25.42,25.42,312.2,30.709677,22.654839
1/1965,19.45,23.89,24.76,25.78,25.78,169.5,30.496774,22.948387
2/1965,20.6,25.84,25.94,26.33,26.33,247.7,30.7,22.803571
3/1965,21.28,26.35,26.94,26.98,26.98,532.5,29.548387,22.9
4/1965,24.09,26.48,27.49,27.49,27.49,284.2,30.036667,23.006667
5/1965,25.79,25.74,27.56,27.97,27.97,268.9,30.145161,23.016129
6/1965,26.52,24.17,27.12,28.09,28.09,64.2,31.353333,22.786667
7/1965,26.05,22.98,26.48,27.94,27.94,45.7,32.093548,22.564516
8/1965,24.5,22.23,26.09,27.88,27.88,3.4,33.674194,23.003226
9/1965,20.93,21.1,25.92,27.92,27.92,13.6,34.726667,24.096667
10/1965,17.81,21.31,26.13,28.14,28.14,138.6,34.351613,24.551613
11/1965,16.86,21.92,26.31,28.06,28.06,76.8,32.28,24.18
12/1965,19.65,23.11,26.42,27.9,27.9,196.0,31.641935,23.903226
1/1966,20.81,25.0,26.59,27.66,27.66,273.3,30.564516,23.667742
2/1966,22.08,25.8,26.82,27.53,27.53,178.1,30.964286,23.689286
3/1966,22.97,25.39,27.21,28.1,28.1,172.9,30.809677,23.374194
4/1966,24.1,24.44,27.41,28.14,28.14,292.6,30.866667,23.53
5/1966,25.23,23.07,26.4,27.66,27.66,359.1,30.696774,23.374194
6/1966,26.26,21.79,26.01,27.75,27.75,161.6,31.27,23.18
7/1966,25.58,20.78,25.37,27.27,27.27,122.2,31.929032,23.180645
8/1966,23.49,20.09,24.52,26.57,26.57,110.4,32.651613,22.851613
9/1966,20.31,19.88,24.21,26.45,26.45,103.4,32.423333,23.07
10/1966,17.76,20.49,24.41,26.41,26.41,29.5,34.103226,23.670968
11/1966,17.04,21.0,24.32,26.39,26.39,318.5,31.633333,23.33
12/1966,18.51,22.41,24.29,26.16,26.16,222.3,31.13871,23.332258
1/1967,20.88,23.78,25.08,26.05,26.05,301.6,29.535484,22.96129
2/1967,23.9,25.59,26.09,26.22,26.22,249.2,29.903571,23.010714
3/1967,25.15,25.37,26.43,26.51,26.51,435.0,30.080645,22.970968
4/1967,26.06,24.99,26.58,26.84,26.84,495.4,30.51,23.093333
5/1967,27.12,23.9,26.75,27.43,27.43,204.3,30.816129,23.367742
6/1967,27.85,22.22,26.4,27.57,27.57,124.4,31.386667,23.043333
7/1967,27.49,21.16,25.28,27.01,27.01,34.2,32.087097,22.632258
8/1967,26.21,20.11,24.31,26.49,26.49,2.6,33.751613,23.074194
9/1967,23.29,19.27,23.72,25.97,25.97,6.7,35.096667,23.306667
10/1967,17.64,19.46,23.81,26.08,26.08,11.2,34.296774,23.903226
11/1967,17.77,20.07,23.97,26.15,26.15,131.9,32.506667,23.696667
12/1967,18.56,21.2,24.13,25.98,25.98,123.1,32.635484,23.774194
1/1968,19.76,23.19,24.37,25.73,25.73,282.2,30.46129,22.790323
2/1968,21.65,24.92,24.93,25.7,25.7,182.6,30.793103,23.251724
3/1968,22.64,25.15,25.85,26.27,26.27,632.8,30.012903,22.470968
4/1968,24.26,24.22,26.63,27.08,27.08,302.6,30.463333,23.136667
5/1968,26.6,22.86,26.25,27.31,27.31,427.3,29.254839,22.487097
6/1968,26.85,21.93,26.36,27.91,27.91,128.1,31.06,22.833333
7/1968,25.96,21.4,25.96,27.56,27.56,102.5,31.9,22.477419
8/1968,24.7,20.91,25.26,26.98,26.98,41.9,32.722581,23.077419
9/1968,23.05,21.1,24.96,26.75,26.75,242.8,31.813333,23.266667
10/1968,22.36,20.8,25.05,26.73,26.73,37.5,33.164516,23.829032
11/1968,21.28,21.44,25.25,27.2,27.2,265.8,31.403333,23.336667
12/1968,21.76,22.99,25.71,27.2,27.2,195.1,31.406452,23.364516
1/1969,21.34,24.58,26.16,27.4,27.4,257.7,31.403226,23.364516
2/1969,22.6,25.64,26.79,27.75,27.75,195.4,31.628571,23.892857
3/1969,23.65,26.97,27.53,27.87,27.87,386.6,32.170968,23.793548
4/1969,25.36,26.5,27.84,28.2,28.2,512.6,31.606667,23.756667
5/1969,27.15,25.79,27.83,28.31,28.31,321.8,31.603226,23.96129
6/1969,27.14,24.13,26.96,27.9,27.9,96.9,32.213333,23.873333
7/1969,26.37,22.41,25.84,27.26,27.26,87.6,31.33871,22.580645
8/1969,24.21,20.97,25.45,27.16,27.16,51.4,32.751613,23.141935
9/1969,21.01,20.83,25.43,27.23,27.23,26.3,34.076667,24.336667
10/1969,18.29,21.68,25.61,27.4,27.4,81.8,33.432258,24.332258
11/1969,17.67,22.32,25.71,27.21,27.21,112.4,33.293333,24.613333
12/1969,17.79,23.48,25.95,27.15,27.15,181.7,30.596774,23.7
1/1970,20.33,24.97,26.19,26.99,26.99,386.7,30.632258,23.322581
2/1970,22.58,25.85,26.56,27.12,27.12,326.2,30.589286,23.45
3/1970,24.55,25.58,26.94,27.38,27.38,382.9,30.251613,23.454839
4/1970,26.19,25.04,27.25,27.89,27.89,403.2,29.953333,23.55
5/1970,27.69,23.14,26.54,27.77,27.77,184.5,31.03871,23.532258
6/1970,28.24,21.55,25.4,27.15,27.15,132.0,31.13,23.22
7/1970,27.99,20.02,24.04,26.4,26.4,68.4,31.429032,22.9
8/1970,26.6,19.29,23.46,25.7,25.7,42.7,33.054839,23.206452
9/1970,23.84,19.38,23.75,25.71,25.71,96.2,32.78,23.223333
10/1970,21.1,20.02,23.72,25.61,25.61,98.8,33.825806,24.148387
11/1970,18.57,20.6,23.76,25.62,25.62,179.6,31.686667,23.156667
12/1970,18.54,21.9,24.02,25.38,25.38,143.4,32.058065,23.558065
1/1971,20.3,23.38,24.22,24.96,24.96,287.8,29.522581,22.541935
2/1971,23.33,24.71,24.92,25.34,25.34,367.6,29.596429,22.496429
3/1971,25.27,25.29,26.0,26.04,26.04,352.4,29.941935,23.048387
4/1971,27.16,25.08,26.61,26.69,26.69,418.9,30.09,22.896667
5/1971,28.22,23.53,26.28,27.05,27.05,316.4,29.935484,22.990323
6/1971,28.95,21.77,25.49,26.66,26.66,146.4,30.506667,23.016667
7/1971,28.91,21.1,24.81,26.31,26.31,36.1,31.641935,23.241935
8/1971,27.82,19.83,24.01,25.97,25.97,8.5,32.712903,23.483871
9/1971,25.66,19.49,24.04,25.84,25.84,40.5,33.336667,23.56
10/1971,22.31,19.81,23.77,25.67,25.67,182.3,32.254839,23.419355
11/1971,21.32,20.97,23.97,25.8,25.8,261.9,31.57,23.733333
12/1971,22.07,21.89,23.87,25.52,25.52,94.3,32.593548,23.687097
1/1972,21.91,24.26,24.99,25.77,25.77,197.7,29.793548,22.916129
2/1972,24.36,26.57,25.93,26.33,26.33,381.7,29.682759,22.57931
